source-id	variable	other_conditions	treatment_dates	duration_months	unit	treatment mean_orig	treatment mean	control mean	treatment SD	control SD	treatment n	control n
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	growing season	May 2006-Jul2006	2	ug m-2 h-1	102.083 (ug m-2 h-1)	102.083	139.583	18.75	25	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	growing season	May 2006-Sep2006	4	ug m-2 h-1	38.382	38.382	34.4145	5.2712	5.5116	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	no-growing season	May 2006- Apr 2007	11	ug m-2 h-1	-4.24586	-4.24586	-0.572254	3.2299	2.810168	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	growing season	May 2006-Jul2007	14	ug m-2 h-1	6.70208	6.70208	5.14454	0.9843	0.87336	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	growing season	May 2006-Sep2007	16	ug m-2 h-1	1.19049	1.19049	5.75116	0.9683	1.39362	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	growing season	May 2006-Sep2008	28	ug m-2 h-1	4.62099	4.62099	4.64696	0.53628	0.43154	4.0	4.0
Hu Y etal 2011_Effects of warming and grazing on N2O fluxes in an alpine meadow ecosystem on the Tibetan plateau	N2O	no-growing season	May 2006-Apr 2009	35	ug m-2 h-1	0.0779607	0.0779607	1.82084	0.9226666	2.22802	4.0	4.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	N_fixation	monoculture herbage	since Dec.1995	7	%	53 (%)	53.0	59	3	6	3.0	3.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	N_fixation	mixture herbage	since Dec.1995	7	%	64	64.0	71	6	5	3.0	3.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	N_fixation	monoculture base	since Dec.1995	7	%	47	47.0	70	9	2	3.0	3.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	N_fixation	mixture base	since Dec.1995	7	%	63	63.0	65	15	6	3.0	3.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	N_immobilization	0-5 cm soil	Oct 2005 - Sep 2007	18	gN/m2/yr	8.71 (gN/m2/yr)	8.71	3.36	4.60412	1.59185	6.0	6.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	N_immobilization	5-10 cm soil	Oct 2005 - Sep 2007	18	gN/m2/yr	6.16	6.16	5.88	4.75106	10.08988	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	N_immobilization	Deschampsia (incubation without plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-4.385 (ug N/g SOM/day)	-4.385	-2.019	3.108	4.521	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	N_immobilization	Calluna (incubation without plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-2.85	-2.85	1.2	3.061	2.939	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	N_immobilization	Calluna (incubation with plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-2.8	-2.8	-1.5	4.041	6.735	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	N_immobilization	low-latitude heath	1989-1993	48		0.974	0.974	0.618	1.513	1.064	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	N_immobilization	high-latitude heath	1989-1993	48		0.475	0.475	0.294	0.987	0.377	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	N_immobilization	tussock tundra	1989-1999	120		1	1.0	0.737	0.915	3.751	4.0	4.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	N_immobilization	wet sedge	1989-1999	120		0.541	0.541	0.473			2.0	2.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	N_leaching	0-5 cm soil	Oct 2005 - Sep 2007	18	gN/m2/yr	0.518 (gN/m2/yr)	0.518	0.804	0.555923	1.043274	6.0	6.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	N_leaching		oct. 2008-jul. 2009	9	kg N/ha	1.8 (kg N/ha)	1.8	12.4	NR	NR	8.0	8.0
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	N_leaching	covered with roof about 10 years before warming	Apr.1994-Jul.1994	3	ueqNH4-N /l	16.0865(ueqNH4-N /l))	16.0865	10.0211	22.84966969	13.34291436	10.0	10.0
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	N_leaching		Apr.1994-Jul.1995	15	ueqNH4-N /l	5.85443(ueqNH4-N /l))	5.85443	1.31857	4.336462978	2.835361396	10.0	10.0
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	N_leaching		Apr.1994-Jul.1996	3	ueqNO3-N /l	70.913(ueqNO3-N /l))	70.913	17.4098	42.96934507	20.14181133	10.0	10.0
Verburg PSJ etal 2005_Soil solution and extractable soil nitrogen response to climate change in two boreal forest ecosystems	N_leaching		Apr.1994-Jul.1997	15	ueqNO3-N /l	32.2718(ueqNO3-N /l))	32.2718	1.06157	18.79910823	4.699777059	10.0	10.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Jan.1999	1	NO3-N mgL-1	0.0100546( NO3-N mgL-1 in seepage wate)	0.0100546	0.00982872	0.001368147	0.00117291	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Apr.1999	4	NO3-N mgL-1	0.0225922	0.0225922	0.00983825	0.021894854	0.00136806	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Jun.1999	6	NO3-N mgL-1	0.0184256	0.0184256	0.0156038	0.007233217	0.012120718	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Aug.1999	8	NO3-N mgL-1	0.0112112	0.0112112	0.0112115	0.002541611	0.002736813	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Nov.1999	11	NO3-N mgL-1	0.00986647	0.00986647	0.0150583	0.001564267	0.008992981	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Jan.2000	13	NO3-N mgL-1	0.00965026	0.00965026	0.00998868	0.001758794	0.001368701	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Apr.2000	16	NO3-N mgL-1	0.0279441	0.0279441	0.0213975	0.011142976	0.022872424	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Jun.2000	18	NO3-N mgL-1	0.0170053	0.0170053	0.00989504	0.008601884	0.001172009	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Aug.2000	20	NO3-N mgL-1	0.0206263	0.0206263	0.0112586	0.013684933	0.002932016	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Nov.2000	23	NO3-N mgL-1	0.00980051	0.00980051	0.00991337	0.001758707	0.00117265	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Clocaenog,Wals	early spring 1999-Jan.2001	24	NO3-N mgL-1	0.0095843	0.0095843	0.0099229	0.001955485	0.001172598	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Jan.1999	1	NO3-N mgL-1	0.0001( NO3-N mgL-1 in seepage wate)	0.0001	0.0001	0.078200189	0.1354467	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Apr.1999	4	NO3-N mgL-1	0.452489	0.452489	0.452489	0.352680185	0.61086	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Jun.1999	6	NO3-N mgL-1	1.04072	1.04072	1.04072	0.117571609	0.20364	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Aug.1999	8	NO3-N mgL-1	0.0113122	0.0113122	0.0113122	0.156746788	0.2714934	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Nov.1999	11	NO3-N mgL-1	0.01	0.01	0.01	0.119832801	0.2075565	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Jan.2000	13	NO3-N mgL-2	0.0791855	0.0791855	0.0791855	0.195933917	0.3393675	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Apr.2000	16	NO3-N mgL-3	0.50905	0.50905	0.50905	0.372273144	0.644796	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Jun.2000	18	NO3-N mgL-4	0.135747	0.135747	0.135747	0.097966526	0.169683	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Aug.2000	20	NO3-N mgL-5	0.0226244	0.0226244	0.0226244	0.137153482	0.2375568	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Nov.2000	23	NO3-N mgL-6	0.30543	0.30543	0.30543	0.195933051	0.339366	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Moles, Denmark	early spring 1999-Jan.2001	24	NO3-N mgL-7	0.565611	0.565611	0.565611	0.450646711	0.780543	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Jan.1999	1	NO3-N mgL-8	2.28261( NO3-N mgL-1 in seepage wate)	2.28261	1.90217	0.527149663	0.25362	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Apr.1999	4	NO3-N mgL-9	2.76449	2.76449	2.71377	1.186091073	0.48189	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Jun.1999	6	NO3-N mgL-10	3.82971	3.82971	3.04348	1.230015881	0.45652	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Aug.1999	8	NO3-N mgL-11	4.43841	4.43841	3.72826	1.361790306	0.71014	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Nov.1999	11	NO3-N mgL-12	11.0072	11.0072	6.08696	2.811464871	1.03986	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Jan.2000	13	NO3-N mgL-13	5.90942	5.90942	3.19565	1.405715115	0.48188	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Apr.2000	16	NO3-N mgL-14	4.92029	4.92029	2.86594	1.098224135	0.48188	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Jun.2000	18	NO3-N mgL-15	10.5	10.5	4.97101	2.591840828	1.06521	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Aug.2000	20	NO3-N mgL-16	11.1087	11.1087	6.31522	3.68996104	1.62319	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Nov.2000	23	NO3-N mgL-17	4.33696	4.33696	2.58696	1.537506861	0.58334	3.0	3.0
Schmidt IK etal 2004_Soil solution chemistry and element fluxes in three european heathlands and their responses to warming and drought	N_leaching	Oldebroek,Netherlans	early spring 1999-Jan.2001	24	NO3-N mgL-18	3.37319	3.37319	2.99275	1.405715115	1.3442	3.0	3.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	denitrification	0-5 cm soil	Oct 2005 - Sep 2007	18	gN/m2/yr	29.9 (gN/m2/yr)	29.9	19	30.1227	14.2042	6.0	6.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	A. faxoniana	April 2007 to May 2010	37	mgN/kg/day	2.474 (mgN/kg/day)	2.474	1.779	0.143112701	0.23881932	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	A. faxoniana 	April 2007 to Jul 2010	39	mgN/kg/day	1.397	1.397	0.63	0.191413238	0.23881932	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	A. faxoniana 	April 2007 to Sep 2010	41	mgN/kg/day	1.617	1.617	1.402	0.23881932	0.23881932	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	P. asperata 	April 2007 to May 2010	37	mgN/kg/day	3.663	3.663	2.296	0.23881932	0.23881932	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	P. asperata 	April 2007 to Jul 2010	39	mgN/kg/day	5.395	5.395	3.356	0.76744186	0.719141324	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	denitrification	P. asperata 	April 2007 to Sep 2010	41	mgN/kg/day	4.053	4.053	2.063	0.334525939	0.335420394	4.0	4.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	gross_N_mineralization	0-5 cm soil	Oct 2005 - Sep 2007	18	g N/m2/yr	6.7 (g N/m2/yr)	6.7	4.46	2.49798	1.02858	6.0	6.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	gross_N_mineralization	5-10 cm soil	Oct 2005 - Sep 2007	18	g N/m2/yr	4.01	4.01	2.51	1.86124	1.44491	6.0	6.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Jun.1991	5		17.19	17.19	7.68	11.20636872	4.184489351	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Aug.1991	7		2.97	2.97	0.63	2.650037736	0.634878523	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Jun.1992	17		15.8	15.8	7.55	7.669713163	6.757396265	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Aug.1992	19		2.86	2.86	3.66	1.00623059	1.64510115	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Jun.1994	41		1.64	1.64	3.27	0.96150923	1.019788401	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	xeric site	Jan.1991-Aug.1994	43		3.75	3.75	6.54	3.376462646	3.822031919	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Jun.1991	5		9.06	9.06	7.08	4.468691084	4.77747701	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Aug.1991	7		1.09	1.09	1.11	0.675499815	0.468476136	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Jun.1992	17		14.61	14.61	6.46	5.232399067	7.823057743	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Aug.1992	19		2.06	2.06	1.84	2.236067977	0.642999976	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Jun.1994	41		3.75	3.75	5.68	6.93181073	8.161782962	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	gross_N_mineralization	mesic site	Jan.1991-Aug.1994	43		1.66	1.66	2.4	0.98386991	0.456274997	5.0	5.0
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate	gross_N_mineralization		Nov.1993-spring 1997	39	mg N  kg.soil-1.day-1	0.740286 (mg N  kg  soil -1  day -1)	0.740286	1.10834	0.176173088	0.234921302	5.0	5.0
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate	gross_N_mineralization		Nov.1993-summer 1997	42	mg N  kg.soil-1.day-1	0.745552	0.745552	0.594999	0.278991965	0.117527733	5.0	5.0
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate	gross_N_mineralization		Nov.1993-autumn1997	45	mg N  kg.soil-1.day-1	1.19721	1.19721	1.2764	0.279016562	0.32302238	5.0	5.0
Jamieson N etal 1998_Soil N dynamics in a natural calcareous grassland under a changing climate	gross_N_mineralization		Nov.1993-winter 1997	48	mg N  kg.soil-1.day-1	1.93112	1.93112	2.29916	0.44043831	0.513848421	5.0	5.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	A. faxoniana	April 2007 to May 2010	37	mg N/kg/day	4.472 (mg N/kg/day)	4.472	5.103	0.780858676	0.683363148	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	A. faxoniana 	April 2007 to Jul 2010	39	mg N/kg/day	5.633	5.633	7.236	0.974955277	1.949910555	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	A. faxoniana 	April 2007 to Sep 2010	41	mg N/kg/day	4.75	4.75	4.067	1.754025045	1.461538462	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	P. asperata 	April 2007 to May 2010	37	mg N/kg/day	7.945	7.945	7.653	2.143112701	2.239713775	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	P. asperata 	April 2007 to Jul 2010	39	mg N/kg/day	9.983	9.983	7.014	2.726296959	2.142218247	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	gross_nitrification	P. asperata 	April 2007 to Sep 2010	41	mg N/kg/day	8.517	8.517	6.423	2.337209302	2.044722719	4.0	4.0
